Name,Party,State,District,Start,Twitter
179,Julia Letlow,Republican Party,Louisiana,5,2021-04-14,RepJuliaLetlow
180,Garret Graves,Republican Party,Louisiana,6,2015-01-03,RepGarretGraves
181,Chellie Pingree,Democratic Party,Maine,1,2009-01-03,chelliepingree
182,Jared Golden,Democratic Party,Maine,2,2019-01-03,RepGolden
183,Andrew Harris,Republican Party,Maryland,1,2011-01-03,RepAndyHarrisMD
184,Dutch Ruppersberger,Democratic Party,Maryland,2,2003-01-03,Call_Me_Dutch
185,John Sarbanes,Democratic Party,Maryland,3,2007-01-03,RepSarbanes
186,Glenn Ivey,Democratic Party,Maryland,4,2023-01-03,RepGlennIvey
187,Steny Hoyer,Democratic Party,Maryland,5,1981-05-19,LeaderHoyer
188,David Trone,Democratic Party,Maryland,6,2019-01-03,repdavidtrone
189,Kweisi Mfume,Democratic Party,Maryland,7,2020-05-05,RepKweisiMfume
190,Jamie Raskin,Democratic Party,Maryland,8,2017-01-03,repraskin
191,Richard Neal,Democratic Party,Massachusetts,1,2013-01-03,RepRichardNeal
192,Jim McGovern,Democratic Party,Massachusetts,2,2013-01-03,RepMcGovern
193,Lori Trahan,Democratic Party,Massachusetts,3,2019-01-03,RepLoriTrahan
194,Jake Auchincloss,Democratic Party,Massachusetts,4,2021-01-03,RepAuchincloss
195,Katherine Clark,Democratic Party,Massachusetts,5,2013-12-12,RepKClark
196,Seth Moulton,Democratic Party,Massachusetts,6,2015-01-03,RepMoulton
197,Ayanna Pressley,Democratic Party,Massachusetts,7,2019-01-03,RepPressley
198,Stephen Lynch,Democratic Party,Massachusetts,8,2013-01-03,RepStephenLynch
199,Bill Keating,Democratic Party,Massachusetts,9,2013-01-03,USRepKeating
200,Jack Bergman,Republican Party,Michigan,1,2017-01-03,RepJackBergman
201,John Moolenaar,Republican Party,Michigan,2,2023-01-03,RepMoolenaar
202,Hillary Scholten,Democratic Party,Michigan,3,2023-01-03,RepScholten
203,Bill Huizenga,Republican Party,Michigan,4,2023-01-03,RepHuizenga
204,Tim Walberg,Republican Party,Michigan,5,2023-01-03,RepWalberg
205,Debbie Dingell,Democratic Party,Michigan,6,2023-01-03,RepDebDingell
206,Elissa Slotkin,Democratic Party,Michigan,7,2023-01-03,RepSlotkin
207,Dan Kildee,Democratic Party,Michigan,8,2023-01-03,RepDanKildee
208,Lisa McClain,Republican Party,Michigan,9,2023-01-03,RepLisaMcClain
209,John James,Republican Party,Michigan,10,2023-01-03,JohnJamesMI
210,Haley Stevens,Democratic Party,Michigan,11,2019-01-03,RepHaleyStevens
211,Rashida Tlaib,Democratic Party,Michigan,12,2023-01-03,RepRashida
212,Shri Thanedar,Democratic Party,Michigan,13,2023-01-03,shrithanedar
213,Brad Finstad,Republican Party,Minnesota,1,2022-08-12,RepFinstad
214,Angie Craig,Democratic Party,Minnesota,2,2019-01-03,RepAngieCraig
215,Dean Phillips,Democratic Party,Minnesota,3,2019-01-03,RepDeanPhillips
216,Betty McCollum,Democratic Party,Minnesota,4,2001-01-03,BettyMcCollum04
217,Ilhan Omar,Democratic Party,Minnesota,5,2019-01-03,Ilhan
218,Tom Emmer,Republican Party,Minnesota,6,2015-01-03,RepTomEmmer
219,Michelle Fischbach,Republican Party,Minnesota,7,2021-01-03,RepFischbach
220,Pete Stauber,Republican Party,Minnesota,8,2019-01-03,RepPeteStauber
221,Trent Kelly,Republican Party,Mississippi,1,2015-06-09,RepTrentKelly
222,Bennie Thompson,Democratic Party,Mississippi,2,1993-04-20,BennieGThompson
223,Michael Guest,Republican Party,Mississippi,3,2019-01-03,RepMichaelGuest
224,Mike Ezell,Republican Party,Mississippi,4,2023-01-03,RepEzell
225,Cori Bush,Democratic Party,Missouri,1,2021-01-03,RepCori
226,Ann Wagner,Republican Party,Missouri,2,2013-01-03,RepAnnWagner
227,Blaine Luetkemeyer,Republican Party,Missouri,3,2013-01-03,RepBlaine
228,Mark Alford,Republican Party,Missouri,4,2023-01-03,RepMarkAlford
229,Emanuel Cleaver,Democratic Party,Missouri,5,2005-01-03,repcleaver
230,Sam Graves,Republican Party,Missouri,6,2001-01-03,RepSamGraves
231,Eric Burlison,Republican Party,Missouri,7,2023-01-03,EricBurlison
232,Jason Smith,Republican Party,Missouri,8,2013-06-05,RepJasonSmith
233,Ryan Zinke,Republican Party,Montana,1,2023-01-03,RepRyanZinke
234,Matt Rosendale,Republican Party,Montana,2,2023-01-03,RepRosendale
235,Mike Flood,Republican Party,Nebraska,1,2022-07-12,USRepMikeFlood
236,Don Bacon,Republican Party,Nebraska,2,2017-01-03,repdonbacon
237,Adrian Smith,Republican Party,Nebraska,3,2007-01-03,RepAdrianSmith
238,Dina Titus,Democratic Party,Nevada,1,2013-01-03,repdinatitus
239,Mark Amodei,Republican Party,Nevada,2,2011-09-13,markamodeinv2
240,Susie Lee,Democratic Party,Nevada,3,2019-01-03,RepSusieLee
241,Steven Horsford,Democratic Party,Nevada,4,2019-01-03,RepHorsford
242,Chris Pappas,Democratic Party,New Hampshire,1,2019-01-03,RepChrisPappas
243,Annie Kuster,Democratic Party,New Hampshire,2,2013-01-03,RepAnnieKuster
244,Donald Norcross,Democratic Party,New Jersey,1,2014-11-12,DonaldNorcross
245,Jeff Van Drew,Republican Party,New Jersey,2,2019-01-03,Congressman_JVD
246,Andrew Kim,Democratic Party,New Jersey,3,2019-01-03,RepAndyKimNJ
247,Chris Smith,Republican Party,New Jersey,4,1981-01-03,
248,Josh Gottheimer,Democratic Party,New Jersey,5,2017-01-03,RepJoshG
249,Frank Pallone Jr.,Democratic Party,New Jersey,6,1993-01-03,FrankPallone
250,Thomas Kean Jr.,Republican Party,New Jersey,7,2023-01-03,CongressmanKean
251,Robert Menendez Jr.,Democratic Party,New Jersey,8,2023-01-03,robmenendez4nj
252,Bill Pascrell,Democratic Party,New Jersey,9,2013-01-03,BillPascrell
253,Donald Payne Jr.,Democratic Party,New Jersey,10,2013-01-03,RepDonaldPayne
254,Mikie Sherrill,Democratic Party,New Jersey,11,2019-01-03,RepSherrill
255,Bonnie Watson Coleman,Democratic Party,New Jersey,12,2015-01-03,RepBonnie
256,Melanie Ann Stansbury,Democratic Party,New Mexico,1,2021-06-14,Rep_Stansbury
