Name,Party,State,District,Start,Twitter
Ashley Hinson,Republican Party,Iowa,2,2023-01-03,RepAshleyHinson
Zach Nunn,Republican Party,Iowa,3,2023-01-03,ZachNunn
Randy Feenstra,Republican Party,Iowa,4,2021-01-03,RepFeenstra
Tracey Mann,Republican Party,Kansas,1,2021-01-03,RepMann
Jacob LaTurner,Republican Party,Kansas,2,2021-01-03,RepLaTurner
Sharice Davids,Democratic Party,Kansas,3,2019-01-03,RepDavids
Ron Estes,Republican Party,Kansas,4,2017-04-25,RepRonEstes
James Comer Jr.,Republican Party,Kentucky,1,2016-11-14,RepJamesComer
Brett Guthrie,Republican Party,Kentucky,2,2009-01-03,RepGuthrie
Morgan McGarvey,Democratic Party,Kentucky,3,2023-01-03,RepMcGarvey
Thomas Massie,Republican Party,Kentucky,4,2012-11-13,RepThomasMassie
Hal Rogers,Republican Party,Kentucky,5,1981-01-03,RepHalRogers
Andy Barr,Republican Party,Kentucky,6,2013-01-03,RepAndyBarr
Steve Scalise,Republican Party,Louisiana,1,2008-05-03,SteveScalise
Troy Carter,Democratic Party,Louisiana,2,2021-05-11,RepTroyCarter
Clay Higgins,Republican Party,Louisiana,3,2017-01-03,RepClayHiggins
Mike Johnson,Republican Party,Louisiana,4,2017-01-03,RepMikeJohnson
Julia Letlow,Republican Party,Louisiana,5,2021-04-14,RepJuliaLetlow
Garret Graves,Republican Party,Louisiana,6,2015-01-03,RepGarretGraves
Chellie Pingree,Democratic Party,Maine,1,2009-01-03,chelliepingree
Jared Golden,Democratic Party,Maine,2,2019-01-03,RepGolden
Andrew Harris,Republican Party,Maryland,1,2011-01-03,RepAndyHarrisMD
Dutch Ruppersberger,Democratic Party,Maryland,2,2003-01-03,Call_Me_Dutch
John Sarbanes,Democratic Party,Maryland,3,2007-01-03,RepSarbanes
Glenn Ivey,Democratic Party,Maryland,4,2023-01-03,RepGlennIvey
Steny Hoyer,Democratic Party,Maryland,5,1981-05-19,LeaderHoyer
David Trone,Democratic Party,Maryland,6,2019-01-03,repdavidtrone
Kweisi Mfume,Democratic Party,Maryland,7,2020-05-05,RepKweisiMfume
Jamie Raskin,Democratic Party,Maryland,8,2017-01-03,repraskin
Richard Neal,Democratic Party,Massachusetts,1,2013-01-03,RepRichardNeal
Jim McGovern,Democratic Party,Massachusetts,2,2013-01-03,RepMcGovern
Lori Trahan,Democratic Party,Massachusetts,3,2019-01-03,RepLoriTrahan
Jake Auchincloss,Democratic Party,Massachusetts,4,2021-01-03,RepAuchincloss
Katherine Clark,Democratic Party,Massachusetts,5,2013-12-12,RepKClark
Seth Moulton,Democratic Party,Massachusetts,6,2015-01-03,RepMoulton
Ayanna Pressley,Democratic Party,Massachusetts,7,2019-01-03,RepPressley
Stephen Lynch,Democratic Party,Massachusetts,8,2013-01-03,RepStephenLynch
Bill Keating,Democratic Party,Massachusetts,9,2013-01-03,USRepKeating
Jack Bergman,Republican Party,Michigan,1,2017-01-03,RepJackBergman
John Moolenaar,Republican Party,Michigan,2,2023-01-03,RepMoolenaar
Hillary Scholten,Democratic Party,Michigan,3,2023-01-03,RepScholten
Bill Huizenga,Republican Party,Michigan,4,2023-01-03,RepHuizenga
Tim Walberg,Republican Party,Michigan,5,2023-01-03,RepWalberg
Debbie Dingell,Democratic Party,Michigan,6,2023-01-03,RepDebDingell
Elissa Slotkin,Democratic Party,Michigan,7,2023-01-03,RepSlotkin
Dan Kildee,Democratic Party,Michigan,8,2023-01-03,RepDanKildee
Lisa McClain,Republican Party,Michigan,9,2023-01-03,RepLisaMcClain
John James,Republican Party,Michigan,10,2023-01-03,JohnJamesMI
Haley Stevens,Democratic Party,Michigan,11,2019-01-03,RepHaleyStevens
Rashida Tlaib,Democratic Party,Michigan,12,2023-01-03,RepRashida
Shri Thanedar,Democratic Party,Michigan,13,2023-01-03,shrithanedar
Brad Finstad,Republican Party,Minnesota,1,2022-08-12,RepFinstad
Angie Craig,Democratic Party,Minnesota,2,2019-01-03,RepAngieCraig
Dean Phillips,Democratic Party,Minnesota,3,2019-01-03,RepDeanPhillips
Betty McCollum,Democratic Party,Minnesota,4,2001-01-03,BettyMcCollum04
Ilhan Omar,Democratic Party,Minnesota,5,2019-01-03,Ilhan
Tom Emmer,Republican Party,Minnesota,6,2015-01-03,RepTomEmmer
Michelle Fischbach,Republican Party,Minnesota,7,2021-01-03,RepFischbach
Pete Stauber,Republican Party,Minnesota,8,2019-01-03,RepPeteStauber
Trent Kelly,Republican Party,Mississippi,1,2015-06-09,RepTrentKelly
Bennie Thompson,Democratic Party,Mississippi,2,1993-04-20,BennieGThompson
Michael Guest,Republican Party,Mississippi,3,2019-01-03,RepMichaelGuest
Mike Ezell,Republican Party,Mississippi,4,2023-01-03,RepEzell
Cori Bush,Democratic Party,Missouri,1,2021-01-03,RepCori
Ann Wagner,Republican Party,Missouri,2,2013-01-03,RepAnnWagner
Blaine Luetkemeyer,Republican Party,Missouri,3,2013-01-03,RepBlaine
Mark Alford,Republican Party,Missouri,4,2023-01-03,RepMarkAlford
Emanuel Cleaver,Democratic Party,Missouri,5,2005-01-03,repcleaver
Sam Graves,Republican Party,Missouri,6,2001-01-03,RepSamGraves
